Name,Diameter(µm),Saturation in,Saturation out,Sav,Resistance for Q,Q in single(µm3/s),partial pressure blood(mmHg),X-Area wall(???),wall thickness(µm),tissue partials(mmHg),pt_by_Vt,M
A1,23.97,0.94,0.93,0.935,1.8661096824233147e-06,3712172.872629078,68.84313102125539,438.21367181621366,4.841406895115785,65.67883724369003,257462742.3144736,0.0007957679052006334
A2,19.17,0.93,0.92,0.925,3.1583174223842012e-06,1857866.2678078308,65.32779818369927,313.0164293498271,4.253657774509781,62.9571934543965,123673032.90210967,0.0007947526037874255
A3,15.28,0.92,0.89,0.905,4.328170125165577e-06,928440.0246209957,59.809062479461616,228.5462913897538,3.810683123726725,52.97305659092374,156912775.219491,0.0007901672036866371
A4,12.08,0.89,0.84,0.865,5.814403351243977e-06,464184.6048868986,52.1839804757445,170.46352110053658,3.485850303253774,40.33197965438337,100684501.6824665,0.0007812586036989134
A5,9.46,0.84,0.765,0.8025,7.874815891778237e-06,231027.19399465164,44.546725950618516,130.57293475327975,3.265971235566071,24.694562925961414,47400234.52773415,0.0007585642685160788
A6,7.32,0.765,0.665,0.7150000000000001,2.0257276147463348e-05,115962.86543088024,37.5790123792995,103.11079053651886,3.1382927268542953,20.38654225159213,26603530.00038659,0.000746741701261017
C,8.0,0.665,0.61,0.6375,4.5137082116410776e-05,58022.96731000462,33.07729942381042,111.33804364322226,3.172168430816443,30.301779427460108,10563853.773628704,0.0007692288032093422
V6,11.51,0.61,0.5975,0.60375,1.0976578880243163e-05,115656.1796562474,31.395006696423497,161.19768259529758,3.4336256317253433,30.90815459350221,4875461.078916886,0.0007701643279528101
V5,14.53,0.5975,0.5875,0.5925,2.6142262270160405e-06,233248.46374110752,30.861700208794417,214.00951386306312,3.730524953361708,29.68517084609415,7573700.978504582,0.0007682407714332346
V4,17.79,0.5875,0.5825,0.585,1.926676151581028e-06,461756.91648322466,30.512888537640364,281.3090635466409,4.092089011783971,29.846911935826654,7535013.763016674,0.0007685036413167879
V3,21.45,0.5825,0.5775,0.5800000000000001,1.415510155307056e-06,925103.7268402285,30.283174079615588,369.5970659612863,4.528590560913847,29.457206596610998,14911244.753878878,0.000767865682384631
V2,25.7,0.5775,0.5725,0.575,9.582036405812654e-07,1856924.7728512872,30.055629767320994,489.0152859095415,5.060357338702096,28.89713436725986,29397867.307345863,0.0007669206438206831
V1,30.77,0.5725,0.5675,0.5700000000000001,5.427300986790478e-07,3702067.0010315385,29.830180373701094,655.2258445393543,5.7162579956740975,27.86541423081174,56652115.36604313,0.0007650869829788587
